"","sample_id","experiment","conc_level","conc","conc_unit","time_level","exposure_type","time","time_unit","acta2_log2fc","acta2_fc","acta2_pvalue","acta2_padj","col1a1_log2fc","col1a1_fc","col1a1_pvalue","col1a1_padj","Single_cell_necrosis","Necrosis","Necrosis_fibrinoid","Fibrosis"
"66","tg_rliver_repeat_acetazolamide_t5_c2","acetazolamide",2,200,"mg/kg",5,"repeat",4,"day",-0.52,0.697371833,0.131122397,0.707762604,-0.548,0.683967652,0.001682537,0.400156664,NA,NA,NA,NA
"67","tg_rliver_repeat_acetazolamide_t5_c3","acetazolamide",3,600,"mg/kg",5,"repeat",4,"day",-0.251,0.840313752,0.456924033,0.751235869,-0.998,0.500693628,0.000329695,0.036537277,NA,NA,NA,NA
"68","tg_rliver_repeat_acetazolamide_t6_c1","acetazolamide",1,60,"mg/kg",6,"repeat",8,"day",0.198,1.147107024,0.116511628,0.702100597,0.054,1.038139271,0.568609764,0.901981836,NA,NA,NA,NA
"69","tg_rliver_repeat_acetazolamide_t6_c2","acetazolamide",2,200,"mg/kg",6,"repeat",8,"day",0.329,1.256142381,0.010374986,0.535954214,-0.103,0.93109482,0.585041742,0.929487027,NA,NA,NA,NA
"70","tg_rliver_repeat_acetazolamide_t6_c3","acetazolamide",3,600,"mg/kg",6,"repeat",8,"day",0.255,1.193335743,0.045221948,0.560512474,-0.23,0.852634892,0.079408803,0.613410494,NA,NA,NA,NA
"71","tg_rliver_repeat_acetazolamide_t7_c1","acetazolamide",1,60,"mg/kg",7,"repeat",15,"day",-0.052,0.964598185,0.613614582,0.90574054,-0.193,0.874784765,0.165471078,0.689932593,NA,NA,NA,NA
"72","tg_rliver_repeat_acetazolamide_t7_c2","acetazolamide",2,200,"mg/kg",7,"repeat",15,"day",-0.188,0.877821798,0.131128487,0.580414338,-0.28,0.823591017,0.037439131,0.444833629,NA,NA,NA,NA
"73","tg_rliver_repeat_acetazolamide_t7_c3","acetazolamide",3,600,"mg/kg",7,"repeat",15,"day",-0.205,0.867538687,0.071437444,0.442011252,-0.212,0.863339559,0.072266559,0.44457494,NA,NA,NA,NA
"74","tg_rliver_repeat_acetazolamide_t8_c1","acetazolamide",1,60,"mg/kg",8,"repeat",29,"day",0.098,1.070288698,0.44813322,0.992060039,-0.054,0.963261894,0.628598973,0.992060039,NA,NA,NA,NA
"75","tg_rliver_repeat_acetazolamide_t8_c2","acetazolamide",2,200,"mg/kg",8,"repeat",29,"day",0.072,1.051172909,0.56804059,0.8919692,0.039,1.027401439,0.677667178,0.926821425,NA,NA,NA,NA
